head,variant,site,role,anchor,mode,mean,family_sd,family_min,family_max,families,events,positive_family_fraction
L13H1,base,final,source,first,output,0.00406841238339742,0.014310783097102745,-0.0361785888671875,0.02587890625,20,40,0.7
L13H1,base,final,source,last,raw,0.0006146440903345738,0.0066178830636173195,-0.008747100830078125,0.01205762227376302,20,40,0.5
L13H1,base,final,source,last,output,-0.0029924631118774404,0.0075724855132734735,-0.01740725835164388,0.008125464121500652,20,40,0.4
L13H1,base,final,target,first,raw,0.00036741892496744796,0.003489053008417285,-0.008772532145182291,0.0056908925374348955,20,40,0.55
L13H1,base,final,target,first,output,-0.0006889323393503825,0.009559427145801476,-0.020099639892578125,0.016265869140625,20,40,0.5
L13H1,base,final,target,last,raw,-0.0016698559125264488,0.006609389834284828,-0.012187480926513672,0.0142669677734375,20,40,0.2
L13H1,base,final,target,last,output,0.0018252486983935036,0.009254099135184001,-0.013289133707682293,0.020901997884114582,20,40,0.55
L13H30,base,earlier,target,first,raw,0.0009028713449011197,0.005364420121754695,-0.01182854105854592,0.008862965636783175,20,1193,0.6
L13H30,base,earlier,target,first,output,-0.0010740762018221414,0.010956543110357481,-0.02315626020639972,0.01746875527261317,20,1193,0.5
L13H30,base,earlier,target,last,raw,0.0007614011296894711,0.0054674412098126976,-0.0060709988933870165,0.015472792088985443,20,1193,0.5
L13H30,base,earlier,target,last,output,-0.0004805387587477384,0.023002662938457718,-0.038922029071384,0.03773542108206913,20,1193,0.45
L13H30,base,earlier,source,first,raw,-0.0010088993058723003,0.006614283096910749,-0.011088556713528102,0.01218727727731069,20,947,0.4
L13H30,base,earlier,source,first,output,0.006440551991493816,0.013526819245013675,-0.01813617823780447,0.03128140502505832,20,947,0.65
L13H30,base,earlier,source,last,raw,0.0004272049067645583,0.005902580023732439,-0.014390240544858183,0.00770244736602341,20,947,0.65
L13H30,base,earlier,source,last,output,0.0027165975967490584,0.019423117666496313,-0.02408954268651652,0.03824925581614176,20,947,0.4
L13H30,base,final,source,first,raw,0.0008896509806315102,0.0070646215248150925,-0.012546539306640625,0.012043635050455729,20,40,0.55
L13H30,base,final,source,first,output,0.006292790174484253,0.012908521668865369,-0.021991729736328125,0.03237152099609375,20,40,0.7
L13H30,base,final,source,last,raw,0.002572476863861084,0.00662807985762458,-0.006330808003743489,0.017191092173258465,20,40,0.55
L13H30,base,final,source,last,output,0.0017584070563316345,0.020827399389083394,-0.022249221801757812,0.04131062825520833,20,40,0.45
L13H30,base,final,target,first,raw,0.0010494470596313476,0.0038919358877949816,-0.0068289438883463545,0.010120232899983725,20,40,0.6
L13H30,base,final,target,first,output,-0.0015682150920232132,0.008545114880712832,-0.017816861470540363,0.013040542602539062,20,40,0.45
L13H30,base,final,target,last,raw,0.0002714713414510092,0.007016616627926332,-0.012317498524983723,0.016962687174479168,20,40,0.5
L13H30,base,final,target,last,output,-0.002479101717472077,0.023101211070801826,-0.04037200411160787,0.035926103591918945,20,40,0.4
L14H26,base,earlier,target,first,raw,0.0011253513021603247,0.0042425641558811785,-0.005444967030176048,0.011107621521785342,20,1193,0.55
L14H26,base,earlier,target,first,output,0.0015421644834334623,0.010388626059536053,-0.01720035761252217,0.019385370943281386,20,1193,0.55
L14H26,base,earlier,target,last,raw,-0.0013823665442137317,0.0062553902883721035,-0.012367595566643607,0.009892385053095844,20,1193,0.4
L14H26,base,earlier,target,last,output,0.0007900808027177721,0.013578202094098659,-0.030045853720770944,0.027591046930729658,20,1193,0.45
L14H26,base,earlier,source,first,raw,-0.003055035200195118,0.0062403247857747346,-0.015041549136673191,0.010536256043807321,20,947,0.3
L14H26,base,earlier,source,first,output,-0.00017927573838110258,0.01638774404290904,-0.027326362000571355,0.03235318695289501,20,947,0.4
L14H26,base,earlier,source,last,raw,0.001468744545550705,0.007383505213372981,-0.010399229284645855,0.015850107738937157,20,947,0.55
L14H26,base,earlier,source,last,output,0.0008992675828496296,0.01201611986588646,-0.02948537508646647,0.02694152295589447,20,947,0.5
L14H26,base,final,source,first,raw,0.00040827492872873956,0.006129909773859163,-0.012289683024088543,0.012135505676269531,20,40,0.6
